name.length,age
17,18.02874743
24,18.96235455
23,19.16495551
20,18.80629706
30,18.6146475
20,18.86105407
18,18.89117043
28,18.36002738
25,18.64476386
30,18.13004791
22,18.50787132
25,21.62628337
19,18.35181383
26,18.61738535
27,22.14099932
24,21.47296372
23,21.82888433
31,22.0752909
17,21.05407255
20,21.63449692
27,18.05886379
26,21.9247091
29,21.25667351
32,22.04517454
31,22.05886379
23,20.91991786
25,21.11704312
22,18.29705681
23,21.98494182
26,21.82614648
21,22.13278576
24,21.07597536
25,21.76043806
20,20.94455852
28,22.04791239
29,21.19370294
27,22.13552361
27,21.01848049
20,17.99863107
22,21.45927447
23,21.33333333
17,21.2128679
26,18.97878166
22,18.26146475
28,20.86516085
21,22.74332649
23,21.02395619
19,18.6201232
22,21.70841889
22,19.43326489
23,19.08829569
23,20.41615332
28,20.48459959
25,20.83230664
16,20.56125941
18,20.59411362
24,20.72826831
21,21.05954825
33,22.13552361
22,20.38877481
28,20.57221081
23,19.85489391
15,20.60780287
29,20.84052019
17,20.62149213
28,20.40793977
22,21.97672827
28,20.67077344
26,19.67693361
19,19.17590691
26,20.09582478
24,19.36755647
28,21.76591376
25,19.88501027
25,19.41409993
20,19.28542094
16,19.6440794
25,19.6440794
21,19.68788501
27,19.23066393
26,19.83572895
21,19.03353867
15,19.8110883
24,18.88021903
22,19.53182752
16,19.21149897
26,18.52156057
23,18.70225873
23,17.90554415
19,18.32991102
22,18.65845311
27,18.35455168
23,18.09993155
24,17.88364134
22,18.18754278
19,18.14373717
24,18.5927447
25,18.22039699
28,18.45037645
30,18.32443532
24,18.38740589
22,24.1615332
24,23.53182752
26,23.35660507
26,23.62217659
25,23.64681725
27,22.84188912
25,22.4421629
18,22.72689938
24,22.58453114
24,23.12936345
23,22.48323066
18,22.67214237
23,23.29089665
18,22.67488022
20,22.37919233
20,22.61190965
27,23.09924709
19,22.33812457
21,22.42299795
23,23.16495551
23,22.88569473
21,22.77891855
22,23.14031485
21,22.54620123
20,22.4366872
20,21.90554415
25,21.33059548
28,22.13552361
25,22.28884326
27,21.29500342
21,21.81245722
22,21.24572211
24,21.65366188
29,21.83709788
22,21.84257358
24,21.82614648
20,21.83436003
16,21.37713895
24,20.54483231
24,20.25462012
20,20.55578371
26,20.62696783
32,20.09856263
31,20.64065708
23,20.67351129
27,20.59411362
21,20.40793977
21,20.26009582
21,20.81587953
20,20.30390144
21,20.81040383
26,19.86858316
25,20.15879535
23,20.12867899
20,19.13483915
17,19.29637235
25,19.44147844
24,19.44147844
25,19.1321013
24,18.9705681
26,20.34223135
27,19.55646817
29,19.61943874
15,19.71800137
25,19.71252567
27,19.80835044
28,20.38603696
22,19.37850787
14,21.30595483
21,19.41957563
21,19.38398357
26,19.84120465
24,19.78918549
20,18.54893908
22,18.75975359
22,18.45859001
21,18.75701574
21,18.54620123
27,17.97946612
21,18.70773443
22,18.11909651
24,18.14099932
25,18.18754278
26,18.43394935
31,17.88911704
28,18.25051335
20,18.74606434
27,18.6091718
21,18.46680356
