age,name_length,sex,nationality,major
18.08,20,Male,Mexico,ICT
18.13,18,Male,Mexico,IBQ
19.36,25,Male,Mexico,IBQ
18.53,26,Male,Mexico,ICI
16.99,27,Female,Mexico,IBQ
18.37,20,Male,Mexico,ICT
17.35,26,Male,Mexico,ICT
18.49,18,Male,Mexico,ICT
17.19,19,Male,Mexico,IIT
16.96,19,Male,Mexico,ICI
17.17,27,Male,Mexico,IIT
18.66,26,Male,Mexico,IIT
16.95,21,Female,Mexico,ICT
17.70,28,Male,Mexico,IIT
17.72,25,Female,Mexico,IIT
19.29,28,Male,Mexico,ICT
18.46,25,Female,Mexico,IIT
20.51,29,Female,Mexico,IIT
18.93,27,Female,Mexico,ICI
18.45,23,Male,Mexico,IIT
18.19,25,Male,Mexico,ICT
17.85,28,Male,Mexico,ICT
19.67,25,Male,Mexico,IBQ
17.57,26,Male,Mexico,IIT
19.65,15,Male,Mexico,IIT
18.52,20,Male,Mexico,IIT
18.39,23,Male,Mexico,IIT
18.29,28,Male,Mexico,IIT
18.83,27,Male,Mexico,IIT
18.08,15,Male,Mexico,IIT
18.70,22,Male,Mexico,IIT
18.45,26,Male,Mexico,IIT
18.61,21,Female,Mexico,IIT
18.26,18,Male,Mexico,IIT
18.58,24,Male,Mexico,IIT
18.14,20,Male,Mexico,IIT
19.03,22,Male,Mexico,IIT
18.69,26,Male,Mexico,IIT
18.43,20,Male,Mexico,IIT
19.47,23,Male,Mexico,IIT
18.35,20,Male,Mexico,IIT
18.66,28,Male,Mexico,IIT
18.13,27,Male,Mexico,IIT
18.35,25,Male,Mexico,IIT
17.12,20,Female,Mexico,IIT
17.36,27,Female,Mexico,IIT
17.07,17,Female,Mexico,IIT
18.13,22,Male,Mexico,IIT
19.34,15,Male,Mexico,IIT
18.69,24,Male,Mexico,IIT
18.09,15,Male,Mexico,IIT
18.41,15,Male,Mexico,ESC
18.76,27,Male,Mexico,ESC
18.08,28,Male,Mexico,NEG
18.85,26,Female,Mexico,ESC
18.07,21,Female,Mexico,NEG
18.37,25,Female,Mexico,IIT
18.15,19,Male,Mexico,ESC
18.54,26,Male,Mexico,ESC
17.95,27,Female,Mexico,IIT
18.45,28,Male,Mexico,IIT
18.25,14,Male,Mexico,IIT
18.32,19,Female,Mexico,ESC
18.04,14,Female,Mexico,ESC
18.52,22,Female,Mexico,ESC
18.02,18,Female,Mexico,ESC
18.09,19,Female,Mexico,ESC
17.81,21,Female,Mexico,IIT
18.25,18,Male,Mexico,IIT
18.32,31,Female,Mexico,ESC
18.53,21,Female,Mexico,ESC
18.88,24,Male,Mexico,ESC
18.31,25,Female,Mexico,ESC
19.37,23,Male,Mexico,NEG
19.47,27,Female,South America,LED
20.11,19,Male,Mexico,BIE
22.96,22,Female,Mexico,LED
20.44,23,Male,North America,LAE
20.71,21,Male,Mexico,LAF
21.71,23,Female,Mexico,LAE
25.47,12,Male,South America,BGB
18.57,24,Male,Mexico,IIT
18.49,25,Female,South America,IBQ
19.43,20,Female,Mexico,IBQ
18.66,23,Male,Mexico,IBQ
18.10,21,Female,Mexico,IBQ
18.29,22,Female,Mexico,IBQ
17.91,21,Male,Mexico,IBQ
18.59,23,Male,Mexico,IBQ
18.20,25,Male,Mexico,IBQ
18.58,23,Male,Mexico,IBQ
17.89,20,Female,Mexico,IBQ
18.33,25,Male,Mexico,IBQ
19.41,27,Male,Mexico,IBQ
17.80,23,Male,Mexico,IBQ
18.05,26,Female,Mexico,IBQ
20.41,28,Male,Mexico,IBQ
17.94,22,Female,Mexico,IBQ
18.77,28,Female,Mexico,IBQ
17.77,25,Female,Mexico,IBQ
18.30,24,Female,Mexico,IBQ
18.60,22,Male,Mexico,IBQ
18.22,27,Female,Mexico,IBQ
18.05,32,Female,Mexico,IBQ
17.96,23,Female,Mexico,IBQ
18.52,37,Male,Mexico,IBQ
18.52,19,Male,Mexico,IBQ
17.98,21,Female,Mexico,IBQ
17.98,20,Male,Mexico,IBQ
18.47,20,Female,Mexico,IBQ
18.12,31,Male,Mexico,IBQ
18.21,19,Female,Mexico,IBQ
18.59,24,Female,Mexico,IBQ
18.08,26,Female,Mexico,IBQ
18.10,16,Female,Mexico,IBQ
18.18,30,Male,South America,IBQ
18.88,28,Female,Mexico,IBQ
18.32,19,Male,Mexico,IBQ
18.08,18,Male,Mexico,IBQ
18.86,26,Female,Mexico,IBQ
18.74,22,Female,Mexico,IBQ
17.96,18,Female,Mexico,IBQ
18.92,20,Female,Mexico,IBQ
17.85,17,Female,Mexico,IBQ
17.83,21,Female,Mexico,IBQ
18.03,26,Female,Mexico,IBQ
21.77,22,Female,Mexico,IBQ
18.36,27,Female,Mexico,IBQ
19.71,27,Male,Mexico,IBQ
18.25,29,Male,Mexico,NEG
19.38,23,Female,Mexico,NEG
18.20,15,Male,Mexico,NEG
17.02,30,Female,Mexico,NEG
18.15,29,Female,Mexico,NEG
17.51,27,Male,Mexico,NEG
18.39,17,Female,Mexico,NEG
18.86,19,Female,Mexico,NEG
19.61,21,Female,South America,NEG
17.64,28,Female,Mexico,NEG
18.24,24,Female,Mexico,NEG
18.58,25,Male,Mexico,NEG
18.61,22,Male,Mexico,NEG
18.80,24,Female,Mexico,NEG
18.67,21,Male,Mexico,NEG
18.98,29,Female,Mexico,NEG
18.81,31,Male,Mexico,NEG
18.71,29,Female,Mexico,NEG
18.52,20,Male,Mexico,NEG
18.86,24,Female,Mexico,NEG
20.55,28,Female,Mexico,NEG
18.74,17,Male,Mexico,NEG
19.44,25,Male,Mexico,NEG
18.97,26,Male,Mexico,NEG
18.51,27,Male,Mexico,NEG
18.66,20,Male,Mexico,NEG
20.94,21,Male,Mexico,NEG
19.04,29,Female,Mexico,NEG
19.68,20,Female,Mexico,NEG
18.04,24,Female,Mexico,NEG
18.49,25,Male,Mexico,NEG
18.92,23,Male,Mexico,NEG
19.27,21,Male,Mexico,NEG
17.88,29,Female,Mexico,NEG
19.66,20,Male,Mexico,NEG
19.30,30,Male,Mexico,NEG
17.87,23,Female,Mexico,NEG
18.78,30,Male,Mexico,NEG
17.72,31,Male,Mexico,NEG
20.28,19,Male,Mexico,NEG
18.85,17,Female,Mexico,NEG
19.03,22,Female,Mexico,NEG
19.81,21,Female,Mexico,NEG
18.87,23,Male,Mexico,NEG
18.37,26,Male,Mexico,NEG
18.00,28,Male,Mexico,NEG
18.55,20,Female,Mexico,NEG
18.21,18,Female,Mexico,NEG
18.58,28,Male,Mexico,NEG
17.90,25,Female,Mexico,NEG
18.47,29,Male,Mexico,NEG
18.21,21,Female,Mexico,NEG
17.96,29,Female,Mexico,NEG
17.92,28,Male,Mexico,NEG
18.35,26,Male,Mexico,NEG
18.09,21,Female,Mexico,NEG
18.80,18,Female,Mexico,NEG
18.85,18,Female,Mexico,NEG
19.40,26,Male,Mexico,NEG
18.95,16,Female,Mexico,NEG
29.76,31,Male,Europe,IPU
18.80,24,Male,South America,NEG
18.30,17,Female,Mexico,NEG
18.55,18,Female,North America,NEG
18.81,20,Male,South America,NEG
18.17,19,Male,Mexico,NEG
19.16,24,Female,Mexico,NEG
17.91,26,Female,Mexico,NEG
18.67,28,Female,Mexico,NEG
17.84,28,Male,Mexico,NEG
18.07,29,Male,Mexico,NEG
18.15,19,Male,Mexico,NEG
18.35,18,Male,Mexico,NEG
18.16,19,Female,Mexico,NEG
18.65,25,Male,Mexico,NEG
18.90,21,Female,Mexico,NEG
19.17,24,Female,Mexico,NEG
19.16,21,Male,Mexico,NEG
18.86,26,Male,Mexico,NEG
18.15,24,Male,Mexico,NEG
18.02,16,Male,Mexico,NEG
18.88,26,Male,Mexico,NEG
18.76,17,Male,Mexico,NEG
19.49,29,Male,Mexico,NEG
18.53,24,Male,Mexico,NEG
18.54,26,Male,Mexico,NEG
18.67,23,Male,Mexico,NEG
18.82,17,Female,Mexico,NEG
18.86,26,Male,Mexico,NEG
18.50,20,Female,Mexico,NEG
19.10,17,Female,Mexico,NEG
20.50,20,Male,Mexico,NEG
20.49,24,Male,Mexico,LEC
24.41,21,Male,Mexico,LAF
22.71,22,Male,Mexico,LAE
23.14,16,Female,Mexico,LEC
21.18,27,Male,Mexico,CPF
22.03,31,Female,Mexico,CPF
17.95,26,Male,Mexico,NEG
19.72,27,Female,Mexico,NEG
18.35,16,Female,Mexico,NEG
18.84,27,Male,South America,NEG
18.60,23,Male,Mexico,NEG
18.74,31,Female,Mexico,NEG
18.88,28,Female,Mexico,NEG
18.95,17,Male,Mexico,NEG
18.20,16,Female,Mexico,NEG
17.88,28,Female,Mexico,NEG
18.56,20,Female,Mexico,NEG
18.35,29,Female,Mexico,NEG
18.80,22,Female,Mexico,NEG
18.75,21,Male,Mexico,NEG
19.01,33,Male,Mexico,NEG
18.44,26,Female,Mexico,NEG
18.92,18,Female,Mexico,NEG
18.96,19,Female,South America,NEG
19.26,17,Female,Mexico,NEG
19.13,28,Female,Mexico,NEG
19.42,32,Male,Mexico,NEG
18.71,24,Female,Mexico,NEG
18.09,19,Male,Mexico,NEG
19.35,28,Female,Mexico,NEG
19.30,18,Male,Mexico,NEG
18.63,22,Female,Mexico,NEG
