age,name_length,sex,nationality,major
18.77892,27,Male,Mexico,NEG
18.77344,18,Male,Mexico,NEG
21.13895,27,Male,Mexico,IIS
21.47023,18,Female,Mexico,ITC
18.88296,21,Male,Mexico,NEG
19.00068,22,Male,Mexico,NEG
18.58453,32,Female,Mexico,NEG
20.78029,29,Female,Mexico,BGB
20.96099,26,Female,Mexico,IMD
20.16427,26,Male,Mexico,LAF
20.58864,21,Female,Mexico,LEM
20.91718,26,Female,Mexico,IC
20.61328,30,Male,Mexico,IMT
20.35866,26,Female,Mexico,LDE
20.14237,27,Female,Mexico,IBT
18.68036,30,Male,Mexico,ESC
20.44627,25,Male,Mexico,BGB
21.05407,31,Female,Mexico,ICI
20.40246,21,Female,Mexico,LAF
20.85147,27,Male,Mexico,IMT
20.7091,31,Female,Mexico,IC
20.58316,33,Female,Mexico,INA
20.64613,27,Male,Mexico,LAE
19.77276,25,Female,Mexico,LAF
19.70431,32,Male,Mexico,CPF
19.3347,19,Male,Mexico,LDO
19.54825,28,Male,Mexico,CPF
19.81109,20,Male,Mexico,IRS
19.76454,25,Female,Mexico,IIT
19.58658,23,Male,Mexico,IMT
19.154,29,Female,Mexico,IDM
19.6386,24,Male,Mexico,IBT
19.5948,23,Male,Mexico,IE
19.70157,21,Male,Mexico,IDM
19.81109,25,Male,Mexico,LIT
19.84942,27,Female,Mexico,ITC
20.39425,27,Male,Mexico,LAE
19.60301,22,Male,Mexico,ESC
19.96167,28,Male,Mexico,IC
18.57084,19,Male,North America,ICT
18.12457,27,Male,Mexico,ICT
18.86927,30,Female,Mexico,NEG
18.98152,27,Male,Mexico,NEG
19.56742,27,Male,Mexico,IIT
19.64682,30,Female,Mexico,IIT
18.94319,29,Female,Mexico,NEG
21.16085,22,Male,North America,ICI
18.20945,30,Male,Mexico,ICT
19.93977,25,Male,Mexico,ICT
19.34839,26,Male,Mexico,NEG
19.10198,30,Male,Mexico,IIT
18.16838,19,Female,Mexico,IBQ
19.38398,24,Male,Mexico,IIT
18.8063,27,Male,Mexico,ICI
18.29979,27,Male,Mexico,ICI
18.22861,32,Male,Mexico,IIT
18.42574,27,Male,Mexico,NEG
18.1848,23,Male,Mexico,IIT
18.35729,28,Female,Mexico,IBQ
18.91307,27,Male,Mexico,NEG
24.54757,27,Female,Mexico,ARQ
24.09582,32,Female,Mexico,LDI
23.63587,18,Female,Mexico,LAE
22.88569,29,Male,Mexico,IDM
22.93224,25,Female,Mexico,BGB
21.39357,23,Male,Mexico,IIS
21.5551,19,Female,Mexico,LDI
21.70021,28,Male,Mexico,LAF
21.70021,27,Female,Mexico,ARQ
21.39083,28,Female,Mexico,LIN
21.2293,27,Male,Mexico,IMT
22.60096,31,Male,Mexico,IIS
21.8152,30,Male,Mexico,IIS
21.87817,32,Male,Mexico,LAE
21.97673,17,Male,Mexico,IIS
22.64476,31,Male,Mexico,IIS
21.63723,25,Male,Mexico,IIS
21.6783,23,Male,Mexico,IIS
21.64271,24,Female,Mexico,IIS
22.09993,29,Male,Mexico,IMT
22.04791,27,Female,Mexico,LDI
20.80767,22,Female,Mexico,LDO
21.01848,25,Male,Mexico,LAF
20.71732,24,Female,Mexico,LDI
21.01574,24,Female,Mexico,LED
20.80493,24,Male,Mexico,MC
20.23819,30,Male,Mexico,ARQ
20.96646,23,Female,Mexico,LC
20.37782,25,Female,Mexico,ARQ
20.39973,27,Female,Mexico,LIN
20.65708,23,Male,Mexico,LAF
20.69268,29,Male,Mexico,LAF
20.14784,34,Male,Mexico,LAE
20.50924,31,Female,Mexico,LAE
21.00479,22,Male,Mexico,ARQ
20.72553,23,Female,Mexico,LAE
20.71732,25,Male,Mexico,BME
